Customer Item Reference,MISUMI Part No. - Registered Nickname,Quantity
HRB_SPOOLHOLDER_HORZ_BLACK,HFSB6-3030-200-Z8-XA15,1
HRB_SPOOLHOLDER_VERT_BLACK,HFSB6-3030-147-LTP,1
HRB_MOUNTING_BRACKET,SHBLBSL6,1
